
2024/02/20 (19:35:38) | ===> btop++ v.1.3.2
2024/02/20 (19:35:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (19:35:41) | ===> btop++ v.1.3.2
2024/02/20 (19:35:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (19:35:47) | ===> btop++ v.1.3.2
2024/02/20 (19:35:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (20:17:10) | ===> btop++ v.1.3.2
2024/02/20 (20:17:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (20:17:11) | ===> btop++ v.1.3.2
2024/02/20 (20:17:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (20:18:36) | ===> btop++ v.1.3.2
2024/02/20 (20:18:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (21:12:23) | ===> btop++ v.1.3.2
2024/02/20 (21:12:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (21:12:24) | ===> btop++ v.1.3.2
2024/02/20 (21:12:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (21:31:26) | ===> btop++ v.1.3.2
2024/02/20 (21:31:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (22:49:43) | ===> btop++ v.1.3.2
2024/02/20 (22:49:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/21 (14:39:02) | ===> btop++ v.1.3.2
2024/02/21 (14:39:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/21 (18:09:30) | ===> btop++ v.1.3.2
2024/02/21 (18:09:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/21 (18:45:48) | ===> btop++ v.1.3.2
2024/02/21 (18:45:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/21 (19:43:07) | ===> btop++ v.1.3.2
2024/02/21 (19:43:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/21 (20:22:05) | ===> btop++ v.1.3.2
2024/02/21 (20:22:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/21 (23:46:38) | ===> btop++ v.1.3.2
2024/02/21 (23:46:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/22 (00:48:18) | ===> btop++ v.1.3.2
2024/02/22 (00:48:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/22 (00:48:53) | ===> btop++ v.1.3.2
2024/02/22 (00:48:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/22 (00:49:09) | ===> btop++ v.1.3.2
2024/02/22 (00:49:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/22 (00:53:39) | ===> btop++ v.1.3.2
2024/02/22 (00:53:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/22 (00:55:10) | ===> btop++ v.1.3.2
2024/02/22 (00:55:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/22 (01:47:37) | ===> btop++ v.1.3.2
2024/02/22 (01:47:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/22 (01:47:43) | ===> btop++ v.1.3.2
2024/02/22 (01:47:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/22 (01:47:45) | ===> btop++ v.1.3.2
2024/02/22 (01:47:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/22 (02:24:02) | ===> btop++ v.1.3.2
2024/02/22 (02:24:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/22 (03:59:09) | ===> btop++ v.1.3.2
